Transformation Number,Time Between Messages,Moving Average Time Between Messages,Std Time Between Messages,Z Score Time Between Messages,Translation_x,Moving Average Translation_x,Std Translation_x,Z Score Translation_x,Translation_y,Moving Average Translation_y,Std Translation_y,Z Score Translation_y,Translation_z,Moving Average Translation_z,Std Translation_z,Z Score Translation_z,Rotation_x,Moving Average Rotation_x,Std Rotation_x,Z Score Rotation_x,Rotation_y,Moving Average Rotation_y,Std Rotation_y,Z Score Rotation_y,Rotation_z,Moving Average Rotation_z,Std Rotation_z,Z Score Rotation_z,Rotation_w,Moving Average Rotation_w,Std Rotation_w,Z Score Rotation_w
198,0.03336699999999837,0.033319699999992736,4.411865315720646e-05,1.0721088841287167,-0.14131398499011993,-0.1974959507584572,0.049571625541912724,1.133349272979469,-0.13617701828479767,-0.15232186019420624,0.009938684341252732,1.6244445798923095,1.4494266510009766,1.4479570150375367,0.004592674194865107,0.31999569337685574,0.04896870026387813,0.05127954818142224,0.001638347998233144,-1.410474404727331,0.9500288086521049,0.9440145631122026,0.005005689203577834,1.2014820128272587,-0.014028695556667818,-0.01819816164885971,0.0025785240505213033,1.616997169892189,0.3079781239414691,0.32505488141993033,0.014302783050972606,-1.1939464800383708
199,0.033366000000000895,0.03331999999999198,4.445472104294001e-05,1.0347607392358007,-0.12882006168365479,-0.18325503319501876,0.04638948323424084,1.1734334533648056,-0.1320817768573761,-0.14900784939527512,0.010658437865572615,1.5880443974413205,1.4511226415634155,1.4492927193641663,0.0029467319371416253,0.621000565468578,0.04897903164498548,0.051031063048898796,0.0017888110849586007,-1.1471481931032457,0.9510393885387819,0.9454821423178302,0.004652183648359637,1.1945457533498598,-0.01890288975537055,-0.01796929980560962,0.002377015338626375,-0.3927572256645314,0.3045780961687751,0.3208535502637445,0.013416786172882625,-1.2130665187065863
200,0.03336699999999837,0.033331199999997806,4.016023461584753e-05,0.8914290552086963,-0.11555226147174835,-0.16845940351486205,0.041260403170131715,1.2822739958443503,-0.12678952515125275,-0.1453649252653122,0.011457241698753786,1.62128028739063,1.4461989402770996,1.4496522426605225,0.002152132761400011,-1.604595425226669,0.05207722102103773,0.051082514247520985,0.0018130371286560535,0.5486411490392842,0.9517767104507856,0.9468751263073558,0.00417273535955689,1.174669304681304,-0.018120613442164066,-0.01803212296203782,0.0023713051937597784,-0.03731720419586458,0.301795791658345,0.3167579852282152,0.012183939023926274,-1.228025972592942
201,0.03336699999999837,0.03334370000000035,2.6411487388298596e-05,0.8821918908036294,-0.10653034597635269,-0.15443697795271874,0.035056420819653225,1.3665579901274114,-0.12244247645139694,-0.14146551862359047,0.01200233093915847,1.5849456466934668,1.4513225555419922,1.4499122619628906,0.002184140982204433,0.6456971370402156,0.04969720448363815,0.05105686730619456,0.0018324894305500558,-0.7419758061842034,0.9534533551513558,0.948223655090955,0.003859847657202716,1.3548980490568983,-0.018777221058027874,-0.01821621589597354,0.002348124970009207,-0.23891622857370123,0.29682369074329634,0.3127242120388697,0.011325477219993817,-1.4039603794798878
202,0.033366000000000895,0.03334939999999733,2.4144012363464498e-05,0.6875410662349067,-0.09936681389808655,-0.1423978291451931,0.030508669666289248,1.410452036020894,-0.11776909232139587,-0.13743048384785653,0.012551476208023002,1.5664604864480354,1.4513062238693237,1.4503048181533813,0.00202559659493447,0.4943756908195354,0.05047055103701964,0.05077071357449481,0.001652286428864462,-0.18166495362517482,0.9541015311706977,0.9495582078093723,0.003249942222397468,1.3979705023721523,-0.02161812120084854,-0.018562684864352495,0.002581813063153529,-1.1834459977377345,0.2944072834212751,0.3087277930386686,0.009784285635823892,-1.4636234213114976
203,0.03336699999999837,0.033355599999993046,1.885735931062225e-05,0.6045385155758399,-0.09469133615493774,-0.13228723779320717,0.027445260892110492,1.3698504009876937,-0.11238113790750504,-0.13320196717977523,0.013205422616506115,1.576687840815121,1.4457327127456665,1.4498337626457214,0.002485366521688386,-1.6500785152883275,0.050911482047665955,0.05048985750632888,0.0012954161054501436,0.32547421601691806,0.9542833403210221,0.9505721304252518,0.0029400150521717147,1.2623098283217846,-0.01749666559277255,-0.018039539937351363,0.002135431575081857,0.25422230846146515,0.2940156357655101,0.3056964286720369,0.009084417081231422,-1.2858054404678902
204,0.03336699999999837,0.03336049999999204,1.364836173686617e-05,0.4762476355510425,-0.0929761677980423,-0.12418315783143044,0.02566105973053036,1.2161224189918973,-0.1062585711479187,-0.1286846324801445,0.013980148735510975,1.604136104450832,1.4443403482437134,1.449080729484558,0.0029050033730974967,-1.631798876636121,0.050199107890783294,0.0502790474608142,0.001127449850482559,-0.07090299404154486,0.9547529737964906,0.9515260939421406,0.002526647634310033,1.2771388501235075,-0.020969998486510058,-0.018097769080004454,0.0022131025042464105,-1.2978293599119282,0.2923817158394196,0.30277561366803496,0.008042307104206425,-1.2924025026573518
205,0.033527000000049156,0.03337890000000243,5.3444571511532826e-05,2.771095283545611,-0.08733391761779785,-0.1169069193303585,0.024642073204414004,1.2001020152502184,-0.10022823512554169,-0.12389726787805558,0.014766890270332567,1.6028447641455141,1.4405078887939453,1.4478702783584594,0.0036866181820443505,-1.9970577914394665,0.050869952770935166,0.05015583322078909,0.0009611415163442666,0.7429910559500654,0.9547090548241616,0.9521251190590634,0.0024970557045463785,1.0347930005700827,-0.01531780457814569,-0.018040342304862254,0.0022830420831374907,1.1925043987691601,0.2927596854157769,0.30091230712052386,0.007982292792050798,-1.0213383443997166
206,0.03354999999999109,0.03340110000000322,7.261993911245079e-05,2.0504010579972407,-0.0743846744298935,-0.10897927656769753,0.024253022977879273,1.426403717563667,-0.09456078708171844,-0.11893216073513031,0.015506174604646398,1.571720574209775,1.439610481262207,1.4470819115638733,0.004523861864074466,-1.6515602213673868,0.05008861735559125,0.050189632720904556,0.0009512001304906372,-0.10619780430559735,0.9562168093777602,0.9529619371389607,0.0022989973315017957,1.41577904167174,-0.015622863882628187,-0.01783425277227168,0.0024083847017206173,0.918204175630087,0.2879174708122559,0.2982723603980564,0.007400761504820984,-1.3991654208901534
207,0.03342499999996562,0.03340689999999995,7.190649793579608e-05,0.2517157765329427,-0.06353410333395004,-0.10045036673545837,0.02367414080712691,1.5593496592871066,-0.08927551656961441,-0.11379641368985176,0.016016674513723128,1.5309605685766905,1.444695234298706,1.4464263677597047,0.00432317039851571,-0.4004314661279556,0.0501036512358393,0.0502365519751374,0.0009321537572925982,-0.14257383855224148,0.9585427973906508,0.9538904769673812,0.002502643836629704,1.8589622523095166,-0.017880346351205396,-0.01787352199043407,0.0024053049045580344,-0.0028372123460908933,0.279938605622204,0.29525960993883277,0.00815958069330681,-1.8776705436832504
