Transformation Number,Time Between Messages,Moving Average Time Between Messages,Translation_x,Filtered Translation_x,Translation_y,Filtered Translation_y,Translation_z,Filtered Translation_z,Rotation_x,Filtered Rotation_x,Rotation_y,Filtered Rotation_y,Rotation_z,Filtered Rotation_z,Rotation_w,Filtered Rotation_w
149,0.009040594100952148,0.009999249668444617,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86157607314484e-07,4.6877988783622243e-07,0.9999999999996909,0.9999999999998397
150,0.011579275131225586,0.010000279125751264,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5137566600209542e-07,4.6877988783622243e-07,0.9999999999999886,0.9999999999998397
151,0.010031938552856445,0.010000123659769693,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985183052090195e-06,9.423123285395847e-07,0.9999999999993966,0.9999999999995438
152,0.010123491287231445,0.00999979664895252,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5146119825004636e-07,4.688094027822652e-07,0.9999999999999886,0.9999999999998397
153,0.010145187377929688,0.009999614859384203,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.509099810887166e-07,1.514184321260709e-07,0.9999999999999886,0.9999999999999886
154,0.011910438537597656,0.010000120181786386,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09844459683628e-06,6.249528975431631e-07,0.9999999999993967,0.9999999999996927
155,0.0085906982421875,0.00999936697912998,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.787031474744135e-07,5.6508217286223e-07,0.999999999999521,0.9999999999997549
156,0.009063243865966797,0.009999511613474264,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5137165076950457e-07,5.650373991219591e-07,0.9999999999999886,0.9999999999997549
157,0.00997614860534668,0.009999450252902123,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098243010755119e-06,1.0384730791147664e-06,0.9999999999993969,0.999999999999459
158,0.010994911193847656,0.010000037163803257,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0408541285849415e-07,6.413942801664538e-07,0.9999999999999537,0.9999999999997373
159,0.010298013687133789,0.010000111785116075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515127461271243e-07,2.2779907949280923e-07,0.9999999999999885,0.9999999999999711
160,0.010854482650756836,0.009999715685844422,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983531417705373e-06,7.011642118068065e-07,0.9999999999993968,0.9999999999996754
161,0.009568929672241211,0.009999601879667551,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.963876328047076e-07,4.002365228316009e-07,0.9999999999998768,0.9999999999999152
162,0.008936166763305664,0.009999446987365344,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5144274967404617e-07,3.2395018946591596e-07,0.9999999999999886,0.9999999999999326
163,0.010883092880249023,0.010000140584136357,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.360755386148323e-07,3.239151912393769e-07,0.9999999999999907,0.9999999999999327
164,0.011370658874511719,0.010000141097767519,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7898171444920144e-08,1.4375914414443924e-07,0.9999999999999996,0.9999999999999896
165,0.00868988037109375,0.009999302121027847,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5144955711754396e-07,1.4375914414443924e-07,0.9999999999999886,0.9999999999999896
166,0.009675264358520508,0.009999115678513087,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4705713817199604e-07,1.4156633839341416e-07,0.9999999999999891,0.9999999999999899
167,0.009011268615722656,0.009999365228595156,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980726405926969e-06,1.4925334764477e-07,0.9999999999993971,0.9999999999999889
168,0.011007070541381836,0.009999992772395617,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873942404230916e-07,4.194218987703178e-07,0.9999999999997637,0.9999999999998761
169,0.00987553596496582,0.00999995398234172,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.513729097624145e-07,4.1938357509275306e-07,0.9999999999999886,0.9999999999998761
170,0.010466337203979492,0.010000041694868178,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514098890709187e-07,4.1940206474700517e-07,0.9999999999999886,0.9999999999998761
